,Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
1,Luxury Standard Ensuit 2 Bedroom Terrace House,"In A Secured Est', Badore, Ajah, Lagos","₦ 4,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/badore/3311690-luxury-standard-ensuit-2-bedroom-terrace-house
2,Newly Built 2-bedroom Apartment,"Ogombo, Ajah, Lagos","₦ 3,500,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/ogombo/3311641-newly-built-2-bedroom-apartment
3,2 Bedroom Terrace Duplex,"Badore, Ajah, Lagos","₦ 4,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/badore/3311603-2-bedroom-terrace-duplex
4,Clean Room In A Shared Apartment Ground Floor Ensuit But Share Kitchen,"Thomas Estate, Ajah, Lagos","₦ 900,000 per annum",1 Bathroom,1 Toilet,Save,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/ajah/3311584-clean-room-in-a-shared-apartment-ground-floor-ensuit-but-share-kitchen
5,Beautiful & Well Fully Furnished 3bedroom Terrace Duplex,"General Paint, Ajah, Lagos","₦ 9,000,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/3309499-beautiful-well-fully-furnished-3bedroom-terrace-duplex
6,Well Maintained 2 Bedroom Apartment With Excellent Facilities,"Sangotedo, Ajah, Ajah, Lagos","₦ 3,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3311505-well-maintained-2-bedroom-apartment-with-excellent-facilities
7,Fully Furnished 3 Bedroom Terrace Duplex,"General Paint, Ajah, Lagos","₦ 10,000,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/3311309-fully-furnished-3-bedroom-terrace-duplex
8,A Nice Room Self-contained,"General Paint, Ajah, Lagos","₦ 750,000 per annum",1 Bathroom,1 Toilet,800 sqm Total Area,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/ajah/3311301-a-nice-room-self-contained
9,Now Available,"Off Mobil Road, Ilaje, Ajah, Lagos","₦ 4,000,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/ilaje-ajah/3311295-now-available
10,Tastefully Furnished And Serviced With 24 Hours Power Supply Light,"Ikoyi, Lagos","₦ 25,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/2638649-tastefully-furnished-and-serviced-with-24-hours-power-supply-light
11,It's A  Self-serviced Come With Your Own Generator 5 Beddoom En-suite,"Lekki Phase 1, Lekki, Lagos","₦ 50,000,000 per annum",5 Bedrooms,5 Bathrooms,6 Toilets,5 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/lekki-phase-1/3265677-its-a-self-serviced-come-with-your-own-generator-5-beddoom-en-suite
12,Downstairs Room Self Con Iniside A Shared Duplex { Video},"Thomas Estate, Ajah, Lagos","₦ 1,200,000 per annum",1 Bathroom,1 Toilet,1 Parking Space,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/ajah/3311185-downstairs-room-self-con-iniside-a-shared-duplex-video
13,Luxurious Share Apartment At Lekki Scheme 2 Ajah,"Lekki Scheme 2 Off Abraham Adesanya Estate Ajah, Ajah, Lagos","₦ 1,300,000 per annum",1 Bathroom,1 Toilet,Save,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/ajah/3310833-luxurious-share-apartment-at-lekki-scheme-2-ajah
14,1-bedroom Fully Furnished Serviced Shared Apt Thomas Estate Ajah,"Thomas Estate Ajah, Ajah, Lagos","₦ 2,500,000 per annum",1 Bedroom,N/A,N/A,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ajah/3310828-1-bedroom-fully-furnished-serviced-shared-apt-thomas-estate-ajah
15,Furnished 4 Bedroom Duplex,"Abraham Adesanya Ajah Lekki Lagos, Ajah, Lagos","₦ 7,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ajah/3310809-furnished-4-bedroom-duplex
16,5 Bedroom Detached Duplex With Bq,"Sangotedo, Ajah, Lagos","₦ 400,000,000 per annum",5 Bedrooms,N/A,N/A,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ajah/sangotedo/3310733-5-bedroom-detached-duplex-with-bq
17,Spacious Luxury 2 Bedroom Flat With Excellent Features,"Newtown Estate, Ogombo, Ajah, Lagos","₦ 1,800,000 per annum",2 Bedrooms,3 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/ogombo/3310673-spacious-luxury-2-bedroom-flat-with-excellent-features
18,56 Square Meters Strictly Corporate Office Space. It Will Come Furnish,"Ikoyi, Lagos","₦ 32,000,000 per annum",,N/A,N/A,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/ikoyi/3310644-56-square-meters-strictly-corporate-office-space-it-will-come-furnish
19,4 Bedroom Duplex With Bq,"By Blenco Supermarket, Sangotedo, Ajah, Lagos","₦ 10,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ajah/sangotedo/3141077-4-bedroom-duplex-with-bq
20,Serviced With 24 Hours Power Supply 4 Bedrooms En-suite Townhouse With An Ant...,"Ikoyi, Lagos","₦ 35,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/3310476-serviced-with-24-hours-power-supply-4-bedrooms-en-suite-townhouse-with-an-ante-room
21,Spacious 2 Bedroom Flat With Solar Light,"Ogombo By Barracuda Beach Side, Ajah, Lagos","₦ 1,700,000 per annum",2 Bedrooms,2 Bathrooms,2 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3310474-spacious-2-bedroom-flat-with-solar-light
22,Spacious Luxury 1 Bedroom Flat With Excellent Features,"Newtown Estate, Ogombo, Ajah, Lagos","₦ 2,000,000 per annum",1 Bedroom,2 Bathrooms,2 Toilets,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ajah/ogombo/3310455-spacious-luxury-1-bedroom-flat-with-excellent-features
23,Brand New Mini Flat / Apartment,"Sangotedo, Ajah, Lagos","₦ 1,500,000 per annum",1 Bedroom,1 Bathroom,2 Toilets,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ajah/3310404-brand-new-mini-flat-apartment
24,4 Bedrooms Duplex,"Iiaje, Ajah, Lagos","₦ 4,500,000 per annum",4 Bedrooms,5 Bathrooms,5 Toilets,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ajah/3310385-4-bedrooms-duplex
25,2 Bedrooms House,"Ikota, Lekki, Lagos","₦ 4,000,000 per annum",2 Bedrooms,2 Bathrooms,2 Toilets,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikota/3310379-2-bedrooms-house
26,Furnished 2bedroom Duplex In A Solar Powered Estate,"Ogombo Road, Ajah, Lagos","₦ 8,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/3310247-furnished-2bedroom-duplex-in-a-solar-powered-estate
27,Spacious Upstairs Mini Flat { Video},"Thomas Estate, Ajah, Lagos","₦ 2,000,000 per annum",1 Bedroom,1 Bathroom,1 Toilet,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ajah/3310138-spacious-upstairs-mini-flat-video
28,Standard 3 Bedroom Apartment,"Mobile Road, Ajah, Lagos","₦ 4,500,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3310122-standard-3-bedroom-apartment
29,Executive Sweet 2 Bedrooms Luxury Apartment,"Ogombo Ajah Lagos, Ajah, Lagos","₦ 2,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3310097-executive-sweet-2-bedrooms-luxury-apartment
30,New And Serviced With 24/7 Power Supply 2 Bedroom En-suite Flat,"Ikate Elegushi, Lekki, Lagos","₦ 16,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate-elegushi/3309966-new-and-serviced-with-247-power-supply-2-bedroom-en-suite-flat
31,Newly Built And Serviced With 24/7 Power Supply 3 Bedroom En-suite Fla,"Lekki Phase 1, Lekki, Lagos","₦ 18,000,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3309950-newly-built-and-serviced-with-247-power-supply-3-bedroom-en-suite-fla
32,Newly Renovated 2bedroom Apartment With Spacious Living Room,"Green Villa Estate, Badore, Ajah, Lagos","₦ 2,500,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/badore/3309918-newly-renovated-2bedroom-apartment-with-spacious-living-room
33,Luxury 2bedroom,"Badore, Ajah, Lagos","₦ 4,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/3309885-luxury-2bedroom
34,Newly Built And Serviced With 24/7 Power Supply 2 Bedroom En-suite Flat,"Lekki Phase 1, Lekki, Lagos","₦ 15,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3309883-newly-built-and-serviced-with-247-power-supply-2-bedroom-en-suite-flat
35,2 Bedroom Terrace,"Badore, Ajah, Lagos","₦ 4,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/badore/3309862-2-bedroom-terrace
36,Tastefully And Newly Built And Serviced With 24/7 Power Supply 5,"Ikate Elegushi, Lekki, Lagos","₦ 150,000,000 per annum",3 Bedrooms,4 Bathrooms,N/A,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate-elegushi/3309812-tastefully-and-newly-built-and-serviced-with-247-power-supply-5
37,Well Built Contemporary Luxury Home Automation Modern Gated And,"Langbasa, Ajah, Lagos","₦ 150,000,000 per annum",4 Bedrooms,5 Bathrooms,6 Toilets,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ajah/3309791-well-built-contemporary-luxury-home-automation-modern-gated-and
38,Luxurious And Standard 2bedroom Terrace Duplex,"Mega Estate, Badore, Ajah, Lagos","₦ 4,000,000 per annum",2 Bedrooms,3 Bathrooms,3 Toilets,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/badore/3309782-luxurious-and-standard-2bedroom-terrace-duplex
39,Exclusive 2 Bedroom Apartment By The Coastal Road,"Atican Beach Estate, Ajah, Lagos","₦ 3,500,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3309581-exclusive-2-bedroom-apartment-by-the-coastal-road
40,Brand New Selfcon 24 Hours Light Upstairs,"Lbs Note The Room Is Not Big, Sangotedo, Ajah, Lagos","₦ 800,000 per annum",1 Bathroom,1 Toilet,Save,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/ajah/sangotedo/3309563-brand-new-selfcon-24-hours-light-upstairs
41,Standard Miniflat,"Baodre Ado Ajah, Badore, Ajah, Lagos","₦ 1,000,000 per annum",1 Bedroom,1 Bathroom,1 Toilet,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ajah/badore/3308648-standard-miniflat
42,Spacious Fine 3 Bedroom Flat Upstairs,"Unity Estate Badore Ajah Lagos, Badore, Ajah, Lagos","₦ 3,300,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/badore/3309543-spacious-fine-3-bedroom-flat-upstairs
